"죄종별","시점","발생건수[건]","검거건수[건]","발생건수 대비 검거건수[%]","검거인원[명]","남자검거인원[명]","여자검거인원[명]","불상검거인원[명]","법인체[개]",
"총계","2011 년","1752598","1382463","78.9","1902722","1484584","330649","87489","10327",
"총계","2012 년","1793400","1370121","76.4","1928795","1480803","331330","116662","11024",
"총계","2013 년","1857276","1420658","76.5","1962718","1503465","326987","132266","12171",
"총계","2014 년","1778966","1392112","78.3","1930325","1462970","328094","139261","11378",
"총계","2015 년","1861657","1500234","80.6","1999065","1487695","342480","168890","11558",
"총계","2016 년","1849450","1552455","83.9","2029873","1542900","353591","133382","12543",
"총계","2017 년","1662341","1413717","85","1833495","1387401","332831","113263","12806",
"총계","2018 년","1580751","1328609","84","1728602","1286156","329007","113439","12302",
"총계","2019 년","1611906","1342854","83.3","1749015","1273899","347112","128004","12620",
"총계","2020 년","1587866","1289129","81.2","1684367","1212094","329160","143113","11983",
"총계","2021 년","1429826","1136665","79.5","1360405","1002380","278825","79200","10317",
"총계","2022 년","1482433","1133788","76.5","1357038","1010855","278604","67579","11610",
"살인기수","2011 년","427","395","92.5","452","367","82","3","-",
"살인기수","2012 년","411","395","96.1","454","350","101","3","-",
"살인기수","2013 년","342","334","97.7","385","307","77","1","",
"살인기수","2014 년","372","364","97.8","459","344","105","10","",
"살인기수","2015 년","365","357","97.8","407","307","89","11","",
"살인기수","2016 년","356","348","97.8","386","304","82","-","-",
"살인기수","2017 년","301","301","100","354","276","72","6","-",
"살인기수","2018 년","309","298","96.4","358","289","67","2","-",
"살인기수","2019 년","297","299","100.7","362","265","82","15","-",
"살인기수","2020 년","308","299","97.1","349","258","85","6","-",
"살인기수","2021 년","270","261","96.7","321","234","83","4","1",
"살인기수","2022 년","275","265","96.4","308","222","77","9","-",
"살인","2011 년","342","318","93","355","298","56","1","-",
"살인","2012 년","340","326","95.9","380","305","72","3","-",
"살인","2013 년","299","289","96.7","329","267","61","1","",
"살인","2014 년","306","299","97.7","371","296","68","7","",
"살인","2015 년","312","304","97.4","347","276","60","11","",
"살인","2016 년","282","277","98.2","306","246","60","-","-",
"살인","2017 년","245","248","101.2","288","231","52","5","-",
"살인","2018 년","226","217","96","269","218","49","2","-",
"살인","2019 년","225","226","100.4","257","206","48","3","-",
"살인","2020 년","252","245","97.2","284","213","65","6","-",
"살인","2021 년","204","196","96.1","245","187","54","4","1",
"살인","2022 년","207","197","95.2","218","170","39","9","-",
"영아살해","2011 년","12","9","75","13","3","10","-","-",
"영아살해","2012 년","16","15","93.8","15","-","15","-","-",
"영아살해","2013 년","6","6","100","6","","6","","",
"영아살해","2014 년","11","11","100","12","","12","","",
"영아살해","2015 년","13","12","92.3","14","2","12","","",
"영아살해","2016 년","8","7","87.5","7","-","7","-","-",
"영아살해","2017 년","8","7","87.5","11","2","9","-","-",
"영아살해","2018 년","7","7","100","6","-","6","-","-",
"영아살해","2019 년","7","7","100","7","-","7","-","-",
"영아살해","2020 년","5","5","100","6","1","5","-","-",
"영아살해","2021 년","5","5","100","5","-","5","-","-",
"영아살해","2022 년","6","6","100","10","2","8","-","-",
"존속살해","2011 년","48","46","95.8","53","44","9","-","-",
"존속살해","2012 년","32","32","100","33","27","6","-","-",
"존속살해","2013 년","28","28","100","37","30","7","","",
"존속살해","2014 년","36","36","100","50","34","16","","",
"존속살해","2015 년","24","24","100","24","20","4","","",
"존속살해","2016 년","32","31","96.9","31","27","4","-","-",
"존속살해","2017 년","25","26","104","26","25","1","-","-",
"존속살해","2018 년","44","43","97.7","46","43","3","-","-",
"존속살해","2019 년","35","36","102.9","45","28","10","7","-",
"존속살해","2020 년","28","27","96.4","35","27","8","-","-",
"존속살해","2021 년","26","27","103.8","27","24","3","-","-",
"존속살해","2022 년","32","31","96.9","46","32","14","-","-",
"촉탁·승낙살인","2011 년","1","1","100","1","1","-","-","-",
"촉탁·승낙살인","2012 년","3","3","100","3","3","-","-","-",
"촉탁·승낙살인","2014 년","3","3","100","5","2","2","1","",
"촉탁·승낙살인","2015 년","1","1","100","1","1","","","",
"촉탁·승낙살인","2016 년","1","1","100","1","1","-","-","-",
"촉탁·승낙살인","2017 년","1","-","-","1","1","-","-","-",
"촉탁·승낙살인","2018 년","1","1","100","1","1","-","-","-",
"촉탁·승낙살인","2019 년","1","1","100","1","1","-","-","-",
"촉탁·승낙살인","2020 년","1","1","100","1","1","-","-","-",
"촉탁·승낙살인","2021 년","2","1","50","9","5","4","-","-",
"촉탁·승낙살인","2022 년","2","2","100","2","2","-","-","-",
"자살교사·방조","2011 년","21","19","90.5","25","18","5","2","-",
"자살교사·방조","2012 년","20","19","95","23","15","8","-","-",
"자살교사·방조","2013 년","7","9","128.6","10","9","1","","",
"자살교사·방조","2014 년","16","15","93.8","21","12","7","2","",
"자살교사·방조","2015 년","15","16","106.7","21","8","13","","",
"자살교사·방조","2016 년","33","32","97","41","30","11","-","-",
"자살교사·방조","2017 년","22","20","90.9","28","17","10","1","-",
"자살교사·방조","2018 년","30","29","96.7","35","26","9","-","-",
"자살교사·방조","2019 년","26","26","100","47","26","16","5","-",
"자살교사·방조","2020 년","19","18","94.7","20","13","7","-","-",
"자살교사·방조","2021 년","25","24","96","26","12","14","-","-",
"자살교사·방조","2022 년","18","19","105.6","21","11","10","-","-",
"위계·위력·촉탁·승낙살인","2011 년","3","2","66.7","5","3","2","-","-",
"위계·위력·촉탁·승낙살인","2012 년","-","-","-","-","-","-","-","-",
"위계·위력·촉탁·승낙살인","2013 년","2","2","100","3","1","2","","",
"위계·위력·촉탁·승낙살인","2016 년","-","-","-","-","-","-","-","-",
"위계·위력·촉탁·승낙살인","2017 년","-","-","-","-","-","-","-","-",
"위계·위력·촉탁·승낙살인","2018 년","-","-","-","-","-","-","-","-",
"위계·위력·촉탁·승낙살인","2019 년","1","1","100","1","-","1","-","-",
"위계·위력·촉탁·승낙살인","2020 년","-","-","-","-","-","-","-","-",
"위계·위력·촉탁·승낙살인","2021 년","-","-","-","-","-","-","-","-",
"위계·위력·촉탁·승낙살인","2022 년","-","-","-","-","-","-","-","-",
"특가법(보복살인등)","2016 년","-","-","-","-","-","-","-","-",
"특가법(보복살인등)","2017 년","-","-","-","-","-","-","-","-",
"특가법(보복살인등)","2018 년","1","1","100","1","1","-","-","-",
"특가법(보복살인등)","2019 년","2","2","100","4","4","-","-","-",
"특가법(보복살인등)","2020 년","3","3","100","3","3","-","-","-",
"특가법(보복살인등)","2021 년","3","3","100","4","4","-","-","-",
"특가법(보복살인등)","2022 년","3","3","100","3","3","-","-","-",
"아동학대처벌법(아동학대살해)","2021 년","5","5","100","5","2","3","-","-",
